Breed;Color;"Age in 
Weeks";Min BW Female;Avg BW Female;Max BW Female;Min BW Male;Avg BW Male;Max BW Male;Min/Avg Female;Max/Avg Female;Min/Avg Male;Max/Avg Male;;;;;;;;;;;;;;;;
LB Extra;Brown;67;1.882;1.981;2.080;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;68;1.884;1.983;2.082;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;69;1.887;1.986;2.086;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;70;1.890;1.989;2.089;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;71;1.892;1.991;2.091;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;72;1.893;1.992;2.092;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;73;1.894;1.993;2.093;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;74;1.895;1.994;2.094;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;75;1.895;1.995;2.095;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;1;61;64;68;61;64;68;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;2;122;129;135;136;143;151;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;3;182;191;201;230;242;254;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;4;252;265;278;324;341;358;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;5;328;345;363;418;440;462;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;6;414;436;457;522;549;577;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;7;500;527;553;634;668;701;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;8;593;625;656;747;786;826;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;9;688;725;761;860;905;950;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;10;777;818;859;973;1.024;1.075;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;11;860;905;951;1.086;1.143;1.200;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;12;947;997;1.047;1.198;1.261;1.324;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;13;1.026;1.080;1.134;1.311;1.380;1.449;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;14;1.102;1.160;1.218;1.424;1.499;1.574;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;15;1.177;1.239;1.301;1.537;1.618;1.698;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;16;1.246;1.312;1.377;1.649;1.736;1.823;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;17;1.311;1.380;1.449;1.757;1.850;1.942;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;18;1.379;1.452;1.524;1.866;1.964;2.062;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;19;1.443;1.519;1.595;1.974;2.078;2.181;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;20;1.512;1.592;1.671;2.085;2.195;2.305;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;21;1.565;1.647;1.729;2.161;2.275;2.388;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;22;1.614;1.699;1.784;2.227;2.344;2.461;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;23;1.659;1.746;1.833;2.284;2.404;2.524;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;24;1.694;1.783;1.872;2.335;2.458;2.581;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;25;1.720;1.810;1.901;2.383;2.508;2.633;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;26;1.737;1.829;1.920;2.425;2.553;2.680;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;27;1.749;1.842;1.934;2.463;2.593;2.722;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;28;1.757;1.849;1.942;2.496;2.627;2.759;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;29;1.762;1.855;1.948;2.524;2.657;2.790;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;30;1.769;1.862;1.955;2.543;2.677;2.811;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;31;1.772;1.865;1.958;2.557;2.691;2.826;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;32;1.775;1.868;1.961;2.570;2.706;2.841;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;33;1.777;1.871;1.964;2.584;2.720;2.856;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;34;1.780;1.874;1.968;2.598;2.735;2.871;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;35;1.783;1.877;1.971;2.612;2.749;2.886;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;36;1.786;1.880;1.974;2.625;2.763;2.902;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;37;1.789;1.883;1.977;2.639;2.778;2.917;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;38;1.791;1.886;1.980;2.653;2.792;2.932;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;39;1.794;1.889;1.983;2.666;2.807;2.947;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;40;1.796;1.890;1.985;2.680;2.821;2.962;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;41;1.799;1.893;1.988;2.687;2.828;2.970;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;42;1.800;1.895;1.990;2.694;2.836;2.978;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;43;1.803;1.898;1.993;2.701;2.843;2.985;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;44;1.805;1.900;1.995;2.708;2.851;2.993;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;45;1.808;1.903;1.998;2.715;2.858;3.001;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;46;1.811;1.906;2.001;2.722;2.866;3.009;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;47;1.812;1.908;2.003;2.729;2.873;3.017;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;48;1.814;1.910;2.005;2.737;2.881;3.025;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;49;1.817;1.913;2.008;2.744;2.888;3.032;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;50;1.819;1.915;2.010;2.751;2.895;3.040;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;51;1.823;1.919;2.014;2.758;2.903;3.048;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;52;1.824;1.919;2.015;2.765;2.910;3.056;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;53;1.827;1.923;2.020;2.772;2.918;3.064;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;54;1.829;1.925;2.022;2.779;2.925;3.072;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;55;1.831;1.927;2.024;2.786;2.933;3.079;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;56;1.833;1.929;2.026;2.793;2.940;3.087;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;57;1.836;1.932;2.029;2.800;2.948;3.095;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;58;1.837;1.934;2.031;2.807;2.955;3.103;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;59;1.840;1.937;2.034;2.814;2.963;3.111;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;60;1.842;1.939;2.036;2.821;2.970;3.118;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;61;1.845;1.942;2.039;2.827;2.976;3.125;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;62;1.848;1.945;2.042;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;63;1.849;1.947;2.044;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;64;1.851;1.949;2.046;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;65;1.854;1.952;2.049;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;66;1.856;1.954;2.051;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;67;1.859;1.957;2.054;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;68;1.861;1.958;2.056;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;69;1.863;1.961;2.059;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;70;1.866;1.964;2.063;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;71;1.868;1.966;2.065;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;72;1.869;1.967;2.066;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;73;1.870;1.968;2.067;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;74;1.871;1.969;2.068;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;75;1.872;1.970;2.069;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;1;63;66;69;63;66;69;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;2;125;132;138;140;147;155;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;3;186;195;205;236;249;261;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;4;257;271;284;333;350;368;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;5;335;353;371;429;452;475;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;6;423;445;467;536;564;592;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;7;511;538;565;651;686;720;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;8;606;638;670;767;808;848;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;9;703;740;777;883;929;976;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;10;794;836;877;999;1.051;1.104;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;11;879;925;971;1.115;1.173;1.232;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;12;967;1.018;1.069;1.230;1.295;1.360;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;13;1.049;1.104;1.159;1.346;1.417;1.488;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;14;1.126;1.185;1.244;1.462;1.539;1.616;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;15;1.202;1.266;1.329;1.578;1.661;1.744;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;16;1.273;1.340;1.407;1.694;1.783;1.872;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;17;1.339;1.410;1.480;1.805;1.900;1.995;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;18;1.409;1.483;1.557;1.916;2.016;2.117;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;19;1.475;1.552;1.630;2.027;2.133;2.240;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;20;1.539;1.620;1.701;2.120;2.232;2.343;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;21;1.592;1.676;1.760;2.197;2.313;2.428;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;22;1.643;1.729;1.816;2.264;2.383;2.503;;;;;;;;;;;;;;;;;;;;
